video_id,participant_id,split
P01_01,P01,train
P01_02,P01,train
P01_03,P01,train
P01_04,P01,train
P01_05,P01,train
P01_06,P01,train
P01_07,P01,train
P01_08,P01,train
P01_09,P01,train
P01_10,P01,train
P01_16,P01,test
P01_17,P01,eval
P01_18,P01,test
P01_19,P01,eval
P02_01,P02,train
P02_02,P02,train
P02_03,P02,train
P02_04,P02,train
P02_05,P02,train
P02_06,P02,train
P02_07,P02,train
P02_08,P02,train
P02_09,P02,train
P02_10,P02,eval
P02_11,P02,test
P03_02,P03,eval
P03_03,P03,train
P03_04,P03,test
P03_05,P03,train
P03_06,P03,train
P03_07,P03,train
P03_08,P03,train
P03_09,P03,train
P03_10,P03,train
P03_11,P03,train
P03_12,P03,train
P03_13,P03,train
P03_14,P03,train
P03_15,P03,train
P03_16,P03,train
P03_17,P03,train
P03_18,P03,train
P03_19,P03,train
P03_20,P03,train
P03_27,P03,train
P03_28,P03,train
P14_01,P14,test
P14_02,P14,test
P14_03,P14,test
P14_04,P14,test
P14_05,P14,test
P14_07,P14,test
P14_09,P14,test
